state,admin1_pcode,township,admin3_pcode,total_population_2021proj,conflict_ranking,flood_ranking,vul_ranking,food_security_pin_2022,food_security_target_2022,beneficiaries_2022,"crop, vegetable and seed kits",food distribution,multi-purpose cash transfer,food_cash for work_assets,IGA and small grants,vocational training,livestock kits,FFS and farmer training
Kachin,MMR001,Waingmaw,MMR001002,142592.4921061458,42,7,54,57138,14284.407250148079,27446,5866,40396,4606,0,0,0,0,0
Kachin,MMR001,Injangyang,MMR001003,1967.200314852518,261,10,10,933,232.7217121528395,0,NA,NA,NA,NA,NA,NA,NA,NA
Kachin,MMR001,Tanai,MMR001004,68169.3970537721,112,7,91,18789,4696.98799300862,1156,0,3448,0,0,0,0,0,0
Kachin,MMR001,Chipwi,MMR001005,22760.235051575986,236,10,15,7969,1991.5492061604696,2708,0,6127,999,0,0,0,0,0
Kachin,MMR001,Tsawlaw,MMR001006,7403.124510513114,291,8,3,1940,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Kachin,MMR001,Puta-O,MMR001014,69368.79863141889,111,10,89,18542,4636.462735824779,561,0,561,0,0,0,0,0,0
Kachin,MMR001,Sumprabum,MMR001015,2891.7390309552607,183,10,136,1646,410.6379127492752,0,NA,NA,NA,NA,NA,NA,NA,NA
Kachin,MMR001,Machanbaw,MMR001016,10060.889370071365,303,10,85,2636,659.011746469699,0,NA,NA,NA,NA,NA,NA,NA,NA
Kachin,MMR001,Nawngmun,MMR001017,8090.28166437326,287,9,99,2120,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Kachin,MMR001,Khaunglanhpu,MMR001018,13237.713435107447,304,10,41,3468,866.9297756888743,0,NA,NA,NA,NA,NA,NA,NA,NA
Kayah,MMR002,Bawlake,MMR002005,12712.895004683189,165,9,214,4844,1000,0,NA,NA,NA,NA,NA,NA,NA,NA
Kayah,MMR002,Hpasawng,MMR002006,29590.199595294787,289,8,185,11348,8000,0,NA,NA,NA,NA,NA,NA,NA,NA
Kayah,MMR002,Mese,MMR002007,7305.63691656903,310,10,80,2982,900,0,NA,NA,NA,NA,NA,NA,NA,NA
Kayah,MMR002,Loikaw,MMR002001,148449.29351548982,10,9,276,69687,25000,815,0,0,0,0,815,0,0,0
Kayah,MMR002,Demoso,MMR002002,91567.29695033768,2,8,135,67077,25000,16315,5557,2954,7059,0,745,0,0,0
Kayah,MMR002,Hpruso,MMR002003,33960.40177042233,64,10,50,17007,4000,30215,4055,25820,0,0,340,0,0,0
Kayah,MMR002,Shadaw,MMR002004,7794.683350452351,232,10,51,2970,500,1606,0,1606,0,0,0,0,0,0
Kayin,MMR003,Hpa-An,MMR003001,437422.79044545017,61,2,122,134831,15000,0,NA,NA,NA,NA,NA,NA,NA,NA
Kayin,MMR003,Hlaingbwe,MMR003002,275878.0378153535,149,2,32,90664,15000,7778,0,7760,0,0,0,18,0,0
Kayin,MMR003,Thandaunggyi,MMR003004,99662.77380742782,122,9,86,32704,7000,2811,0,0,2811,0,0,0,0,0
Kayin,MMR003,Hpapun,MMR003003,36403.91058003586,7,7,61,36403.91058003586,44320.23954264364,14444,0,9421,5023,0,0,0,0,0
Kayin,MMR003,Kawkareik,MMR003006,228625.06669591743,47,3,75,70417,5000,1432,1328,0,0,0,0,104,0,0
Kayin,MMR003,Kyainseikgyi,MMR003007,264429.2491780408,104,2,38,81444,5000,1390,1390,0,0,0,0,0,0,0
Kayin,MMR003,Myawaddy,MMR003005,218454.5912361622,15,4,207,67353,5000,20843,0,20843,0,0,0,0,0,0
Magway,MMR009,Gangaw,MMR009023,132523.7540308305,4,9,219,32767,3277.25118460458,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Tilin,MMR009024,48583.26092104402,95,9,68,10202,1019.7515811746895,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Saw,MMR009025,68299.51859151479,51,8,119,18217,1822.2941570613998,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Magway,MMR009001,287573.41447282815,68,3,237,60390,6038.958296358604,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Yenangyaung,MMR009002,133450.36147114506,213,3,203,28025,2801.542483822312,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Chauk,MMR009003,184117.4949189052,216,4,213,38665,3865.532663203272,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Taungdwingyi,MMR009004,258356.4478971576,79,7,110,54255,5424.514637587847,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Myothit,MMR009005,158588.06803864965,182,8,57,33303,3329.6506078513253,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Natmauk,MMR009006,205798.31943708163,155,8,45,43218,4322.2353046313865,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Minbu,MMR009007,187093.17739622458,195,3,248,39290,3929.0432751559238,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Pwintbyu,MMR009008,162744.87673817252,123,5,190,34176,3418.3576259129213,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Ngape,MMR009009,51840.30595802967,171,9,184,10886,1089.353689716822,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Salin,MMR009010,234667.31111563844,170,5,137,49280,4927.986466608758,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Sidoktaya,MMR009011,47251.014172093855,247,8,148,9923,991.7287765617061,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Pakokku,MMR009018,288460.2533534726,32,4,267,60577,6058.334698067766,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Yesagyo,MMR009019,214105.97155217687,22,4,161,44962,4495.77460870406,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Myaing,MMR009020,224464.6871322603,31,8,133,47138,4714.241582602502,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Pauk,MMR009021,170521.6185816712,24,8,120,35810,3581.04601037606,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Seikphyu,MMR009022,102174.37771855226,211,5,176,21457,2146.3381211759756,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Thayet,MMR009012,103743.24739753983,254,5,152,21786,2179.391875114487,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Minhla,MMR009013,145236.76834338708,272,5,125,30500,3050.027865043446,0,NA,NA,NA,NA,NA,NA,NA,NA
Magway,MMR009,Mindon,MMR009014,59013.55990853376,244,8,70,12393,1238.7153073514057,0,NA,NA,NA,NA,NA,NA,NA,NA
