admin3_pcode,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,total_idps,fatalities,score_i,index_battles,index_explosions_remote_violence,index_violence_against_civilians,index_fatalities,index_strategic_developments,index_protests_and_riots,env_battles,env_explosions_remote_violence,env_violence_against_civilians,env_fatalities,score_env,admin1,admin3,partners,beneficiaries,old_conflict_score
MMR013008,7,42,7,20,23,0,79,0.15029945221233754,0.045751633986928095,0.5454545454545454,0.47916666666666674,0.14629629629629629,0.21505376344086025,0.19999999999999998,0.0457516339869281,0.5454545454545454,0.4791666666666667,0.14629629629629629,0.3041672856011091,Yangon,Hlaingtharya,7,772658,0.2317000426221071
MMR013009,1,25,8,14,5,0,22,0.08638945636230308,0.006535947712418299,0.3246753246753246,0.10416666666666666,0.040740740740740744,0.15053763440860216,0.2285714285714286,0.006535947712418301,0.3246753246753247,0.10416666666666667,0.040740740740740744,0.1190296699487876,Yangon,Thingangyun,NA,NA,0.12858644755105322
MMR013010,0,10,4,8,2,0,2,0.03807505005860235,0,0.12987012987012986,0.04166666666666667,0.0037037037037037095,0.08602150537634409,0.1142857142857143,0,0.12987012987012986,0.041666666666666664,0.003703703703703704,0.043810125060125056,Yangon,Yankin,NA,NA,0.056153993711497985
MMR013011,0,20,9,8,6,0,3,0.07766886499724103,0,0.2597402597402597,0.125,0.00555555555555556,0.08602150537634409,0.2571428571428571,0,0.2597402597402597,0.125,0.005555555555555556,0.09757395382395381,Yangon,South Okkalapa,NA,NA,0.11352282098197888
MMR013012,3,13,9,8,9,0,21,0.08249063158274214,0.019607843137254898,0.1688311688311688,0.1875,0.038888888888888896,0.08602150537634409,0.2571428571428571,0.0196078431372549,0.16883116883116883,0.1875,0.03888888888888889,0.10370697521432815,Yangon,North Okkalapa,7,255380,0.12086452585947202
MMR013013,4,21,19,14,12,0,20,0.1467290550686598,0.026143790849673196,0.2727272727272727,0.25000000000000006,0.037037037037037035,0.15053763440860216,0.5428571428571429,0.026143790849673203,0.2727272727272727,0.25,0.037037037037037035,0.14647702515349575,Yangon,Thaketa,NA,NA,0.21145178611651855
MMR013014,0,6,3,4,5,0,4,0.03157877205541812,0,0.0779220779220779,0.10416666666666666,0.00740740740740741,0.043010752688172046,0.08571428571428572,0,0.07792207792207792,0.10416666666666667,0.007407407407407408,0.047374037999038,Yangon,Dawbon,NA,NA,0.04693046426271741
MMR013015,1,16,26,20,5,0,7,0.1618999327415454,0.006535947712418299,0.20779220779220778,0.10416666666666666,0.012962962962962963,0.21505376344086025,0.742857142857143,0.006535947712418301,0.2077922077922078,0.10416666666666667,0.012962962962962963,0.08286444628356393,Yangon,Tamwe,NA,NA,0.22726777214456867
MMR013016,0,6,2,6,1,0,1,0.021529879735033064,0,0.0779220779220779,0.020833333333333336,0.0018518518518518506,0.06451612903225808,0.05714285714285715,0,0.07792207792207792,0.020833333333333332,0.001851851851851852,0.025151815776815776,Yangon,Pazundaung,NA,NA,0.032080672504596786
MMR013017,1,6,1,5,3,0,8,0.021858435115342977,0.006535947712418299,0.0779220779220779,0.0625,0.014814814814814814,0.05376344086021506,0.028571428571428574,0.006535947712418301,0.07792207792207792,0.0625,0.014814814814814815,0.04044321011232776,Yangon,Botahtaung,NA,NA,0.033742626622869205
MMR013018,6,19,10,13,16,0,47,0.11672350257568975,0.039215686274509796,0.24675324675324672,0.33333333333333337,0.08703703703703705,0.13978494623655915,0.2857142857142857,0.0392156862745098,0.24675324675324675,0.3333333333333333,0.08703703703703704,0.17658482584953172,Yangon,Dagon Myothit (South),1,2770,0.17419418075540027
MMR013019,0,16,9,17,7,0,17,0.08526315778022187,0,0.20779220779220778,0.14583333333333334,0.031481481481481485,0.18279569892473121,0.2571428571428571,0,0.2077922077922078,0.14583333333333334,0.03148148148148148,0.09627675565175565,Yangon,Dagon Myothit (North),NA,NA,0.12552662038942947
MMR013020,0,3,0,5,2,0,7,0.011476090780588217,0,0.03896103896103897,0.04166666666666667,0.012962962962962963,0.05376344086021506,0,0,0.03896103896103896,0.041666666666666664,0.012962962962962963,0.02339766714766715,Yangon,Dagon Myothit (East),NA,NA,0.018370178876751356
MMR013021,0,10,4,4,8,0,13,0.0469703808725245,0,0.12987012987012986,0.16666666666666669,0.024074074074074074,0.043010752688172046,0.1142857142857143,0,0.12987012987012986,0.16666666666666666,0.024074074074074074,0.08015271765271766,Yangon,Dagon Myothit (Seikkan),2,276430,0.07033961244247172
